"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.159392708E0,4.490661621E-2,7.454498291E-2,9.850415955E0,9.850800375E0
2.169388708E0,4.415817261E-2,6.990463257E-2,9.857750702E0,9.858097459E0
2.179385708E0,4.221221924E-2,7.170089722E-2,9.845925293E0,9.846276848E0
2.189382708E0,4.131408691E-2,6.197113037E-2,9.865684204E0,9.865965340E0
2.199378708E0,3.981719971E-2,7.065307617E-2,9.861941986E0,9.862275448E0
2.209375708E0,3.592529297E-2,7.035369873E-2,9.862690430E0,9.863006782E0
2.219372708E0,4.550537109E-2,7.828720093E-2,9.859696655E0,9.860112462E0
2.229369708E0,4.670288086E-2,7.888595581E-2,9.855355682E0,9.855782048E0
2.239365708E0,3.397933960E-2,6.376739502E-2,9.853110352E0,9.853375283E0
2.249362708E0,4.116439819E-2,6.750961304E-2,9.869426422E0,9.869743156E0
2.259360708E0,3.981719971E-2,6.511459351E-2,9.863738251E0,9.864033536E0
2.269356708E0,4.700225830E-2,7.694000244E-2,9.861343231E0,9.861755386E0
2.279353708E0,4.116439819E-2,7.155120850E-2,9.857900391E0,9.858246000E0
2.289350708E0,4.221221924E-2,6.990463257E-2,9.846524048E0,9.846862666E0
2.299347708E0,4.640350342E-2,8.143066406E-2,9.862241364E0,9.862686700E0
2.309344708E0,3.951782227E-2,7.619155884E-2,9.865085449E0,9.865458820E0
2.319341708E0,4.251159668E-2,6.646179199E-2,9.859546967E0,9.859862615E0
2.329338708E0,5.104385376E-2,7.469467163E-2,9.863887939E0,9.864302816E0
2.339335708E0,4.116439819E-2,7.888595581E-2,9.866133270E0,9.866534509E0
2.349332708E0,4.176315308E-2,7.619155884E-2,9.854008484E0,9.854391534E0
2.359329708E0,3.772155762E-2,6.885681152E-2,9.861492920E0,9.861805453E0
2.369326708E0,4.550537109E-2,6.735992432E-2,9.865235138E0,9.865570051E0
2.379322708E0,5.044509888E-2,7.888595581E-2,9.871821442E0,9.872265509E0
2.389319708E0,4.296066284E-2,6.421646118E-2,9.861343231E0,9.861645892E0
2.399316708E0,3.891906738E-2,7.589218140E-2,9.855655060E0,9.856024096E0
2.409313708E0,3.592529297E-2,6.466552734E-2,9.859846344E0,9.860123842E0
2.419311458E0,3.727249146E-2,7.589218140E-2,9.865085449E0,9.865447774E0
2.429309458E0,3.981719971E-2,7.259902954E-2,9.860744476E0,9.861092113E0
2.439306458E0,4.715194702E-2,6.825805664E-2,9.857750702E0,9.858099785E0
2.449304458E0,4.146377563E-2,7.140151978E-2,9.859247589E0,9.859593320E0
2.459301458E0,5.014572144E-2,5.942642212E-2,9.862840118E0,9.863146622E0
2.469298458E0,4.460723877E-2,6.391708374E-2,9.857151947E0,9.857460104E0
2.479295458E0,4.580474854E-2,6.840774536E-2,9.859996033E0,9.860339723E0
2.489292458E0,4.221221924E-2,7.214996338E-2,9.850415955E0,9.850770628E0
2.499289458E0,4.056564331E-2,6.571334839E-2,9.852810974E0,9.853113615E0
2.509286458E0,4.400848389E-2,6.017486572E-2,9.864486694E0,9.864768396E0
2.519282458E0,4.116439819E-2,6.975494385E-2,9.855804749E0,9.856137555E0
2.529279458E0,4.715194702E-2,7.244934082E-2,9.867480469E0,9.867859090E0
2.539276458E0,4.311035156E-2,6.840774536E-2,9.855056305E0,9.855388013E0
2.549272458E0,3.876937866E-2,7.274871826E-2,9.865684204E0,9.866028596E0
2.559269458E0,4.236190796E-2,7.050338745E-2,9.855205994E0,9.855549220E0
2.569267458E0,4.745132446E-2,6.691085815E-2,9.858199768E0,9.858541036E0
2.579264458E0,4.176315308E-2,6.256988525E-2,9.864037628E0,9.864324482E0
2.589261458E0,4.311035156E-2,6.436614990E-2,9.863738251E0,9.864042467E0
2.599257458E0,4.670288086E-2,6.436614990E-2,9.853709106E0,9.854030004E0
2.609255458E0,4.340972900E-2,7.274871826E-2,9.857451324E0,9.857815346E0
2.619252458E0,4.146377563E-2,7.454498291E-2,9.861941986E0,9.862310882E0
2.629248458E0,4.340972900E-2,6.855743408E-2,9.865684204E0,9.866017907E0
2.639245458E0,4.760101318E-2,6.182144165E-2,9.855954437E0,9.856263268E0
2.649242458E0,4.370910645E-2,7.185058594E-2,9.850715332E0,9.851074335E0
2.659239458E0,4.445755005E-2,7.424560547E-2,9.850415955E0,9.850796078E0
2.669236458E0,5.029541016E-2,6.706054688E-2,9.845176849E0,9.845533705E0
2.679232458E0,4.445755005E-2,7.080276489E-2,9.865534515E0,9.865888748E0
2.689228458E0,4.400848389E-2,7.200027466E-2,9.870174866E0,9.870535582E0
2.699225458E0,4.071533203E-2,7.125183105E-2,9.863438873E0,9.863780258E0
2.709222458E0,4.535568237E-2,6.721023560E-2,9.860145721E0,9.860479096E0
2.719219458E0,4.580474854E-2,6.676116943E-2,9.861343231E0,9.861675591E0
2.729216458E0,4.251159668E-2,6.451583862E-2,9.852361908E0,9.852664852E0
2.739213458E0,4.520599365E-2,6.646179199E-2,9.865085449E0,9.865412899E0
2.749210458E0,4.640350342E-2,7.274871826E-2,9.867480469E0,9.867857744E0
2.759207458E0,4.296066284E-2,6.556365967E-2,9.863887939E0,9.864199384E0
2.769204458E0,4.266128540E-2,7.873626709E-2,9.858798523E0,9.859205227E0
2.779201458E0,4.026626587E-2,7.349716187E-2,9.858499146E0,9.858855340E0
2.789197458E0,4.251159668E-2,6.840774536E-2,9.860594788E0,9.860923710E0
2.799193458E0,4.191284180E-2,6.182144165E-2,9.856403503E0,9.856686492E0
2.809190458E0,4.340972900E-2,7.005432129E-2,9.855804749E0,9.856149312E0
2.819186458E0,4.176315308E-2,7.005432129E-2,9.864935760E0,9.865272897E0
2.829183458E0,4.415817261E-2,7.200027466E-2,9.860594788E0,9.860956523E0
2.839180458E0,4.490661621E-2,6.960525513E-2,9.857151947E0,9.857499987E0
2.849177458E0,4.430786133E-2,6.361770630E-2,9.857301636E0,9.857606501E0
2.859173458E0,5.284011841E-2,6.586303711E-2,9.857601013E0,9.857962657E0
2.869170458E0,4.176315308E-2,7.289840698E-2,9.868977356E0,9.869334952E0
2.879166458E0,4.400848389E-2,7.140151978E-2,9.861792297E0,9.862148967E0
2.889163458E0,4.475692749E-2,6.930587769E-2,9.864935760E0,9.865280738E0
2.899159458E0,4.520599365E-2,6.840774536E-2,9.862989807E0,9.863330631E0
2.909156458E0,4.071533203E-2,6.481521606E-2,9.866282959E0,9.866579862E0
2.919154458E0,3.847000122E-2,6.810836792E-2,9.862540741E0,9.862850935E0
2.929151458E0,3.906875610E-2,6.840774536E-2,9.851164398E0,9.851479381E0
2.939148458E0,4.625381470E-2,7.289840698E-2,9.856553192E0,9.856931288E0
2.949146458E0,4.206253052E-2,5.897735596E-2,9.865684204E0,9.865950152E0
2.959143458E0,3.802093506E-2,7.095245361E-2,9.857151947E0,9.857480629E0
2.969140458E0,4.221221924E-2,6.990463257E-2,9.865684204E0,9.866022164E0
2.979137458E0,4.745132446E-2,7.544311523E-2,9.856702881E0,9.857105811E0
2.989134458E0,4.430786133E-2,6.301895142E-2,9.854457550E0,9.854758657E0
2.999132458E0,3.757186890E-2,6.062393188E-2,9.851763153E0,9.852021322E0
3.009130458E0,4.385879517E-2,7.349716187E-2,9.859846344E0,9.860217815E0
3.019128458E0,3.847000122E-2,8.277786255E-2,9.863887939E0,9.864310285E0
3.029125458E0,4.296066284E-2,6.212081909E-2,9.857301636E0,9.857590991E0
3.039122458E0,4.475692749E-2,6.765930176E-2,9.859546967E0,9.859880697E0
3.049120458E0,4.191284180E-2,7.514373779E-2,9.862690430E0,9.863065739E0
3.059117458E0,3.936813354E-2,6.676116943E-2,9.853709106E0,9.854013906E0
3.069115458E0,4.805007935E-2,6.795867920E-2,9.859397278E0,9.859748571E0
3.079113458E0,4.191284180E-2,7.409591675E-2,9.858948212E0,9.859315733E0
3.089111458E0,4.086502075E-2,7.065307617E-2,9.850415955E0,9.850754097E0
3.099109458E0,4.011657715E-2,6.346801758E-2,9.865684204E0,9.865969914E0
3.109108458E0,4.460723877E-2,7.110214233E-2,9.865684204E0,9.866041260E0
3.119106458E0,4.640350342E-2,6.616241455E-2,9.852062531E0,9.852393966E0
3.129104458E0,4.071533203E-2,6.780899048E-2,9.856253815E0,9.856571161E0
3.139102458E0,4.745132446E-2,6.960525513E-2,9.859247589E0,9.859607474E0
3.149100458E0,3.712280273E-2,5.957611084E-2,9.860145721E0,9.860395584E0
3.159099458E0,4.041595459E-2,6.271957397E-2,9.855355682E0,9.855638123E0
3.169096458E0,4.206253052E-2,7.574249268E-2,9.859846344E0,9.860226981E0
3.179094458E0,4.595443726E-2,6.421646118E-2,9.858798523E0,9.859114761E0
3.189093458E0,4.834945679E-2,7.185058594E-2,9.862540741E0,9.862920969E0
3.199092458E0,5.014572144E-2,7.559280396E-2,9.857451324E0,9.857868709E0
3.209090458E0,4.655319214E-2,6.436614990E-2,9.856553192E0,9.856873289E0
3.219088458E0,4.745132446E-2,6.496490479E-2,9.859097900E0,9.859426123E0
3.229087458E0,4.864883423E-2,7.858657837E-2,9.851463776E0,9.851897334E0
