"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.189589667E0,9.759704590E-2,4.681963806E0,8.651409302E0,9.837539996E0
2.199587667E0,1.019380188E-1,4.696184235E0,8.660540314E0,9.852385308E0
2.209585667E0,1.020877075E-1,4.686454468E0,8.660091248E0,9.847357909E0
2.219582667E0,1.011895752E-1,4.693789215E0,8.668623505E0,9.858343167E0
2.229580667E0,1.089733887E-1,4.686604156E0,8.664581909E0,9.851452349E0
2.239578667E0,1.046324158E-1,4.686903534E0,8.664881287E0,9.851811021E0
2.249577667E0,1.038839722E-1,4.683011627E0,8.659342804E0,9.845080374E0
2.259574667E0,1.022373962E-1,4.688699799E0,8.665330353E0,9.853035492E0
2.269572667E0,1.011895752E-1,4.683909760E0,8.663085022E0,9.848771094E0
2.279569667E0,9.789642334E-2,4.675227814E0,8.661588135E0,9.843294562E0
2.289567667E0,9.580078125E-2,4.690645752E0,8.653804321E0,9.843762725E0
2.299564667E0,9.924362183E-2,4.685556335E0,8.669222260E0,9.854932879E0
2.309561667E0,1.070274353E-1,4.689448242E0,8.665629730E0,9.853705816E0
2.319559667E0,1.028361511E-1,4.690945129E0,8.656798096E0,9.846608287E0
2.329556667E0,9.535171509E-2,4.684807892E0,8.665330353E0,9.851115016E0
2.339554667E0,9.984237671E-2,4.687651978E0,8.663384399E0,9.850800922E0
2.349552667E0,1.124162292E-1,4.685855713E0,8.670270081E0,9.856138414E0
2.359550667E0,1.061293030E-1,4.678820343E0,8.668024750E0,9.850750037E0
2.369547667E0,1.061293030E-1,4.681514740E0,8.669072571E0,9.852951991E0
2.379545667E0,1.005908203E-1,4.683161316E0,8.675060120E0,9.858944492E0
2.389544667E0,1.011895752E-1,4.684957581E0,8.663534088E0,9.849664449E0
2.399542667E0,1.058299255E-1,4.688550110E0,8.661887512E0,9.849974486E0
2.409541667E0,1.085243225E-1,4.683909760E0,8.668024750E0,9.853194468E0
2.419540667E0,1.022373962E-1,4.688699799E0,8.655151520E0,9.844084829E0
2.429539667E0,1.028361511E-1,4.689298553E0,8.662785645E0,9.851088839E0
2.439537667E0,1.068777466E-1,4.680317230E0,8.662935333E0,9.846991460E0
2.449535667E0,1.082249451E-1,4.692741394E0,8.656349030E0,9.847127142E0
2.459533667E0,9.969268799E-2,4.686753845E0,8.665030975E0,9.851820240E0
2.469531667E0,1.079255676E-1,4.677922211E0,8.657546539E0,9.841123727E0
2.479529667E0,1.140628052E-1,4.688550110E0,8.655600586E0,9.844538281E0
2.489526667E0,1.052311707E-1,4.684508514E0,8.659791870E0,9.846201748E0
2.499523667E0,9.939331055E-2,4.683460693E0,8.664731598E0,9.849987653E0
2.509521667E0,1.016386414E-1,4.692741394E0,8.663833466E0,9.853637020E0
2.519519667E0,1.082249451E-1,4.696932678E0,8.671018524E0,9.862020659E0
2.529517667E0,1.071771240E-1,4.690046997E0,8.665629730E0,9.853992409E0
2.539515667E0,1.058299255E-1,4.684358826E0,8.656199341E0,9.842977426E0
2.549514667E0,9.999206543E-2,4.687502289E0,8.643924866E0,9.833621571E0
2.559513667E0,1.008901978E-1,4.686304779E0,8.647667084E0,9.836349796E0
2.569511667E0,1.010398865E-1,4.686604156E0,8.660839691E0,9.848076550E0
2.579508667E0,1.017883301E-1,4.685256958E0,8.658145294E0,9.845073568E0
2.589507667E0,1.032852173E-1,4.689897308E0,8.663833466E0,9.852299981E0
2.599505667E0,1.091230774E-1,4.679419098E0,8.662336578E0,9.846062459E0
2.609502667E0,1.065783691E-1,4.678371277E0,8.664132843E0,9.847117074E0
2.619499667E0,9.595046997E-2,4.689747620E0,8.662635956E0,9.851101509E0
2.629497667E0,1.007405090E-1,4.688849487E0,8.650062103E0,9.839666283E0
